epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.1708,2.72713,4.28277,1.74443,0,0,0,0,2.30586,4.15736,1.74707,3.334e-05,3.334e-05,3.334e-05
2,90.2323,2.6343,4.10659,1.64214,0,0,0,0,2.26412,4.13051,1.68567,8.16997e-05,8.16997e-05,8.16997e-05
3,110.215,2.41945,3.97888,1.53234,0,0,0,0,2.20537,4.09497,1.62273,0.000128079,0.000128079,0.000128079
4,131.893,2.28458,3.86592,1.43933,0.00414,0.06944,0.00239,0.00098,2.15731,4.03535,1.53833,0.000172478,0.000172478,0.000172478
5,151.497,2.21661,3.70349,1.45643,0.00556,0.09722,0.00339,0.0015,2.11811,4.01493,1.50341,0.000214896,0.000214896,0.000214896
6,170.486,2.30988,3.57386,1.3968,0.01229,0.22222,0.00901,0.00371,2.1146,3.86696,1.41907,0.000255334,0.000255334,0.000255334
7,189.126,2.38389,3.33849,1.37088,0.01177,0.20833,0.00851,0.00396,2.05068,3.80886,1.38948,0.000293792,0.000293792,0.000293792
8,207.393,2.10795,2.98873,1.32378,0.01097,0.19444,0.00778,0.00354,2.07352,3.75744,1.39464,0.000330269,0.000330269,0.000330269
9,226.24,2.11168,2.61387,1.26607,0.00471,0.08333,0.00333,0.001,2.09692,3.65225,1.38031,0.000364766,0.000364766,0.000364766
10,244.895,2.26447,2.51487,1.26322,0.0069,0.125,0.0605,0.02587,2.16352,3.51424,1.41352,0.000397283,0.000397283,0.000397283
11,263.326,2.25018,2.50812,1.27122,0.01114,0.22222,0.12731,0.04775,2.15812,3.39337,1.41867,0.000427819,0.000427819,0.000427819
12,282.833,2.05773,2.39463,1.32137,0.01255,0.26389,0.13849,0.04797,2.11472,3.31665,1.41822,0.000456375,0.000456375,0.000456375
13,301.704,2.0944,2.2764,1.28255,0.01153,0.26768,0.14753,0.04789,2.02605,3.27742,1.38433,0.00048295,0.00048295,0.00048295
14,321.913,2.15779,2.31785,1.2771,0.01381,0.30934,0.11123,0.04886,2.03077,3.25586,1.42674,0.000507545,0.000507545,0.000507545
15,342.877,2.12447,2.39868,1.24532,0.01381,0.30934,0.11123,0.04886,2.03077,3.25586,1.42674,0.000530159,0.000530159,0.000530159
16,361.601,2.21629,2.28233,1.25133,0.01106,0.2399,0.1697,0.06594,2.03319,3.24912,1.44785,0.000550793,0.000550793,0.000550793
17,380.679,2.04211,2.11216,1.27423,0.62655,0.15497,0.2282,0.08323,2.02927,3.14865,1.45498,0.000569447,0.000569447,0.000569447
18,396.267,2.1262,2.15802,1.30298,0.62655,0.15497,0.2282,0.08323,2.02927,3.14865,1.45498,0.000586121,0.000586121,0.000586121
19,414.719,1.90517,1.93849,1.30573,1,0.03882,0.26061,0.10369,2.06148,3.04349,1.46422,0.000600813,0.000600813,0.000600813
20,434.735,2.25221,2.13004,1.31023,0.91299,0.06638,0.29568,0.11474,2.124,2.98028,1.52427,0.000613526,0.000613526,0.000613526
21,456.604,2.32406,2.19637,1.32037,0.91299,0.06638,0.29568,0.11474,2.124,2.98028,1.52427,0.000624258,0.000624258,0.000624258
22,476.694,2.08571,2.24976,1.34545,0.68128,0.12879,0.31087,0.10092,2.13444,2.99982,1.50821,0.00063301,0.00063301,0.00063301
23,496.075,2.12618,2.01502,1.23865,0.68128,0.12879,0.31087,0.10092,2.13444,2.99982,1.50821,0.000639781,0.000639781,0.000639781
24,515.076,2.05055,1.80048,1.23971,0.02069,0.55051,0.29222,0.09915,2.12926,3.03735,1.51198,0.000644572,0.000644572,0.000644572
25,533.841,1.9631,1.91448,1.21837,0.02069,0.55051,0.29222,0.09915,2.12926,3.03735,1.51198,0.000647383,0.000647383,0.000647383
26,553.293,2.0755,1.87431,1.2022,1,0.1062,0.28505,0.08528,2.1056,2.98845,1.48928,0.000648213,0.000648213,0.000648213
27,570.158,2.05156,1.91988,1.27285,1,0.1062,0.28505,0.08528,2.1056,2.98845,1.48928,0.000647063,0.000647063,0.000647063
28,588.643,1.692,1.75004,1.17302,0.75413,0.18813,0.36511,0.13868,2.07036,2.70231,1.48356,0.000643932,0.000643932,0.000643932
29,607.462,2.12359,1.90666,1.21057,0.75413,0.18813,0.36511,0.13868,2.07036,2.70231,1.48356,0.000638821,0.000638821,0.000638821
30,626.222,2.01182,1.82072,1.15871,0.75413,0.18813,0.36511,0.13868,2.07036,2.70231,1.48356,0.00063173,0.00063173,0.00063173
31,645.657,1.9577,1.77373,1.20655,0.68548,0.31692,0.46736,0.19702,2.03069,2.42535,1.43519,0.000622658,0.000622658,0.000622658
32,664.104,1.93341,1.69794,1.17606,0.68548,0.31692,0.46736,0.19702,2.03069,2.42535,1.43519,0.000611606,0.000611606,0.000611606
